DAY_OF_WEEK,TRUCK_BRAND_NAME,CITY,LOCATION,DAILY_SALES
4,0,0,0,9788.0
2,1,0,1,3464.0
3,2,0,2,8811.0
1,3,1,3,32663.5
4,4,0,4,17490.0
0,5,2,5,11689.0
2,5,2,6,5366.0
5,6,2,7,11414.75
0,7,1,8,37628.0
5,8,0,9,9136.0
4,1,0,10,8148.0
0,9,1,11,27045.0
1,10,1,12,22741.0
1,0,1,13,60765.0
4,1,0,14,8839.0
2,0,0,15,17215.0
5,4,0,16,10151.0
1,11,1,17,54380.0
2,1,0,18,5145.0
2,7,0,19,10608.0
4,3,0,20,17143.5
2,1,0,21,2038.0
3,4,0,22,15682.0
2,9,3,23,13464.0
3,12,0,24,16882.0
6,3,0,22,9893.0
6,11,0,25,4910.0
0,1,0,26,3925.0
6,0,0,27,11981.0
0,11,1,28,49583.0
2,13,1,29,12522.5
0,5,3,30,5334.0
0,4,3,31,16214.0
1,0,0,32,7739.0
5,2,0,33,7955.0
1,2,0,34,5564.0
0,1,1,35,13552.0
6,8,3,36,11011.0
6,7,3,37,10900.0
2,6,3,38,8634.0
5,6,3,39,11432.25
3,3,0,40,6140.5
5,3,0,41,9862.0
1,0,0,42,21026.0
5,2,1,43,35488.0
5,0,1,44,29978.0
4,9,1,45,30475.0
6,8,1,46,36803.0
0,10,2,47,4532.0
2,13,2,48,9295.0
3,0,2,49,8226.0
3,8,2,50,9378.0
5,9,0,51,8913.0
0,0,0,52,13930.0
1,2,0,1,12048.0
6,2,2,53,10734.0
2,1,0,54,3312.0
3,12,0,55,9620.0
0,11,3,56,4775.0
3,9,3,57,9618.0
6,8,3,58,6578.0
4,6,3,59,19687.75
2,14,2,60,10220.0
0,11,1,61,25397.0
3,3,0,62,8897.5
2,8,3,63,28315.0
0,1,0,64,3983.0
6,1,3,65,9215.0
0,14,0,66,6511.0
4,8,1,67,30733.0
1,11,1,68,56023.0
1,8,1,69,34798.0
2,13,1,70,12547.5
2,2,0,71,16790.0
0,2,0,72,6614.0
0,4,0,73,6084.0
2,8,3,74,9583.0
3,4,3,75,9100.0
4,1,3,76,5300.0
6,9,3,77,17364.0
3,11,1,78,126507.0
1,4,3,79,32738.0
2,12,3,80,8330.0
4,4,0,81,10490.0
0,7,0,82,9045.0
2,6,2,83,12508.0
3,9,2,84,7430.0
1,5,0,85,6513.0
5,6,1,86,42653.5
4,13,1,87,13806.5
0,7,2,88,4756.0
4,3,0,89,6013.0
3,8,2,90,8100.0
4,13,2,91,4060.0
6,4,0,92,14165.0
1,13,0,93,4861.0
1,2,0,94,7210.0
5,1,2,95,14130.0
0,14,2,7,12244.0
1,10,1,96,72354.0
6,7,3,97,11947.0
3,12,3,98,15817.0
5,14,3,99,8699.0
6,5,0,100,5639.0
0,2,0,101,9040.0
2,10,0,102,12538.0
2,4,0,103,7346.0
2,9,0,104,12293.0
5,5,3,105,8490.0
2,8,1,106,31915.0
5,8,1,107,61299.0
2,13,3,108,6135.5
3,9,3,11,7543.0
4,1,3,109,3179.0
4,0,1,110,32085.0
1,5,3,111,12578.0
2,5,3,112,6897.0
0,1,0,113,3567.0
4,14,0,114,5066.0
0,11,0,115,7572.0
5,3,3,116,14063.0
5,2,1,117,65204.0
5,6,0,118,26454.25
3,0,0,119,7668.0
4,2,0,120,29268.0
4,6,0,121,28128.25
1,6,2,122,20468.75
4,9,3,123,6447.0
2,1,2,124,3542.0
3,3,3,125,12771.0
3,3,3,39,5524.0
1,10,1,126,25360.0
0,13,3,127,3301.0
4,7,1,128,39737.0
1,7,1,129,80194.0
3,7,1,107,35045.0
1,7,3,130,10730.0
2,8,3,131,20521.0
4,6,3,132,11539.0
5,3,3,133,10225.5
0,9,2,134,5871.0
3,6,0,71,10082.75
1,3,0,135,6997.0
6,7,0,136,24752.0
2,1,0,137,3016.0
3,7,0,11,7125.0
6,6,3,138,18823.5
2,1,3,139,4272.0
2,4,3,140,9322.0
2,13,3,141,3105.0
2,11,3,142,8467.0
5,8,3,143,7730.0
0,2,2,144,10097.0
5,1,0,145,4114.0
2,7,1,146,130056.0
3,2,1,147,32841.0
1,11,1,148,26207.0
6,13,1,86,14162.5
1,8,0,149,16053.0
2,9,0,150,10374.0
3,6,1,151,41047.25
3,7,0,152,15454.0
0,13,3,153,7605.5
6,11,1,154,77340.0
4,11,0,155,7858.0
1,8,3,156,9467.0
3,13,3,157,6130.5
4,14,3,158,7810.0
0,10,0,159,4357.0
0,11,0,160,6393.0
5,9,0,161,9789.0
2,13,1,162,13433.0
5,8,1,163,28435.0
4,3,3,108,6567.0
4,1,2,164,4409.0
2,5,2,165,19283.0
0,2,3,166,7846.0
0,10,2,167,4163.0
1,4,2,168,9366.0
6,10,2,169,17180.0
2,13,2,170,3002.5
3,13,1,171,15622.5
2,11,3,172,8610.0
3,4,3,173,5148.0
5,2,3,174,10245.0
1,3,2,175,14997.0
6,7,1,176,41005.0
4,3,0,177,10343.0
4,7,0,178,20391.0
1,14,1,179,62293.0
1,0,1,180,31927.0
1,10,1,181,46015.0
4,14,3,182,15991.0
4,2,1,183,30821.0
2,3,3,184,18249.0
4,6,2,185,9729.75
6,14,2,186,6691.0
3,2,2,187,7665.0
6,12,1,8,26085.0
2,14,0,188,6451.0
0,11,1,146,60819.0
0,9,1,189,27353.0
1,10,1,190,44391.0
0,0,3,77,6953.0
0,4,3,191,6742.0
1,3,3,192,7998.0
2,13,3,193,7600.0
0,10,1,194,22523.0
1,8,0,195,15054.0
1,9,0,196,5892.0
3,5,0,197,7360.0
3,4,0,198,5632.0
3,7,0,199,25025.0
4,0,0,200,8512.0
5,14,0,201,7867.0
1,11,1,202,24980.0
0,7,0,203,11209.0
3,2,1,204,35118.0
1,8,0,205,17735.0
3,5,0,206,8393.0
4,0,0,104,6133.0
3,11,1,207,30189.0
