DAY_OF_WEEK,MENU_TYPE,TRUCK_BRAND_NAME,CITY,LOCATION,SHIFT,PROFIT
4,0,0,0,0,0,57.2
4,0,0,0,1,1,48.85
4,0,0,0,2,0,46.45
4,0,0,0,3,1,55.2
4,0,0,0,4,0,43.85
4,0,0,0,5,1,54.6
4,0,0,0,6,0,51.35
4,0,0,0,7,1,49.7
4,0,0,0,8,0,48.7
4,0,0,0,9,1,49.35
4,0,0,0,10,0,34.2
4,0,0,0,11,1,45.2
4,0,0,0,12,0,40.1
4,0,0,0,13,1,57.1
4,0,0,0,14,0,54.35
4,0,0,0,15,1,60.85
4,0,0,0,16,0,50.8
4,0,0,0,17,1,40.1
4,0,0,0,18,0,42.95
4,0,0,0,19,1,60.95
4,0,0,0,20,0,51.35
4,0,0,0,21,1,53.85
4,0,0,0,22,0,43.35
4,0,0,0,23,1,36.35
4,0,0,0,24,0,48.35
4,0,0,0,25,1,53.2
4,0,0,0,26,0,42.6
4,0,0,0,27,1,52.8
4,0,0,0,28,0,50.45
4,0,0,0,29,1,55.2
4,0,0,0,30,0,54.1
4,0,0,0,11,1,56.7
4,0,0,0,31,0,46.35
4,0,0,0,32,1,65.95
4,0,0,0,33,0,57.45
4,0,0,0,34,1,46.1
4,0,0,0,35,0,40.1
4,0,0,0,36,1,66.45
4,0,0,0,37,0,51.95
4,0,0,0,38,1,53.6
4,0,0,0,39,0,60.2
4,0,0,0,40,1,51.95
4,0,0,0,41,0,50.95
4,0,0,0,31,1,51.05
4,0,0,0,42,0,54.6
4,0,0,0,43,1,59.7
4,0,0,0,0,0,49.2
4,0,0,0,1,1,49.2
4,0,0,0,2,0,59.95
4,0,0,0,3,1,56.7
4,0,0,0,4,0,42.6
4,0,0,0,5,1,50.35
4,0,0,0,6,0,45.1
4,0,0,0,7,1,52.35
4,0,0,0,8,0,44.6
4,0,0,0,9,1,57.6
4,0,0,0,10,0,54.85
4,0,0,0,11,1,50.35
4,0,0,0,12,0,45.1
4,0,0,0,13,1,53.95
4,0,0,0,14,0,51.7
4,0,0,0,15,1,61.2
4,0,0,0,16,0,54.1
4,0,0,0,17,1,48.45
4,0,0,0,18,0,50.45
