CUSTOMER_ID,Recency,CITY,GENDER,MARITAL_STATUS,CHILDREN_COUNT,AVG_AMT,AVG_QUANTITY,FREQ_SUBCAT,MEAN_PROFIT,AVERAGE_MONTHLY_SPENDING,DAY_DIFF,TOTAL_TRANS,AGE,MEMBER_MONTHS,SPEND_RANK
197585,6,9122,0,0,0,41.39583333,4.569444,2,7.348409091,305.1406718,72,72,23,44,1
122835,9,9122,1,0,0,38.8220339,4,2,7.909090909,178.9953966,142,59,83,23,0
45504,8,9122,1,1,1,36.34090909,3.575758,2,8.011392405,203.8301755,54,66,80,20,0
153751,3,9122,1,2,1,43.6641791,4.567164,2,7.673857868,269.0398897,116,67,21,50,1
105218,8,9122,0,0,0,34.14545455,3.6,2,7.329411765,139.3964069,216,55,34,52,0
107843,4,9122,2,3,0,31.51190476,3.412698,2,6.90130719,154.0916332,97,63,17,42,0
66254,4,9122,1,3,0,40.42578125,4.109375,2,7.273728814,250.2216811,113,64,44,51,0
156853,0,9122,1,0,0,43.41549296,4.338028,1,7.835678392,250.7724841,108,71,31,24,0
88656,6,9122,1,1,3,37.33333333,4.126984,2,7.489583333,202.3904339,97,63,45,36,0
187941,2,9122,0,0,0,41.42028986,4.15942,2,8.404098361,271.6303392,154,69,54,42,1
92347,1,9122,0,0,0,38.31,4.093333,2,7.104186047,272.8333496,113,75,42,38,1
71344,3,9122,0,1,4,35.50819672,3.557377,2,7.456012658,187.0840017,179,61,32,36,0
177192,0,9122,1,1,2,42.5239726,4.356164,2,7.176008969,268.0071462,57,73,54,54,1
112942,4,9122,2,1,2,33.125,3.407407,2,7.645736434,132.5897577,123,54,82,24,0
87975,18,9122,1,1,1,44.43214286,4.385714,2,8.381313131,287.2218978,32,70,59,51,1
100279,4,9122,0,1,4,46.04761905,4.619048,2,7.984196891,262.7413766,11,63,69,27,1
98151,2,9122,0,2,3,39.34615385,4.211538,2,7.156129032,209.7900207,158,52,37,15,0
77159,4,9122,2,0,0,36.66,3.68,2,7.4128,159.8370325,270,50,45,39,0
79117,7,9122,1,1,0,44.24615385,4.2,2,8.526744186,247.542845,201,65,36,36,0
188545,11,9122,0,0,0,36.97368421,3.592105,2,7.932275132,238.8002436,50,76,77,23,0
120966,1,9122,1,0,0,33.2421875,3.953125,2,6.453179191,185.672366,163,64,62,50,0
154903,17,9122,1,3,0,37.73717949,4,2,7.48131068,238.1387579,134,78,58,46,0
167745,6,9122,1,3,0,43.21959459,4.364865,2,7.828139535,301.4330782,75,74,38,37,1
105093,6,9122,1,1,2,44.62121212,4.666667,2,7.684263959,275.4558047,238,66,65,28,1
